Year,ExecutingUnit,DomesticConsumptionWater,PopulationServed,DailyWaterPerPerson,Remarks
2014/12/31,澎湖縣,7581201,94295,220,無
2014/12/31,臺南市,174298049,1864431,256,無
2014/12/31,臺東縣,16648480,177790,257,無
2014/12/31,臺北市,327020637,2687780,333,無
2014/12/31,臺中市,253403867,2541593,273,無
2014/12/31,彰化縣,90045532,1203136,205,無
2014/12/31,嘉義縣,40224131,472475,233,無
2014/12/31,嘉義市,27549531,270405,279,無
2014/12/31,新竹縣,39481772,437681,247,無
2014/12/31,新竹市,47526880,425628,306,無
2014/12/31,新北市,418016885,3862949,296,無
2014/12/31,雲林縣,59024369,664685,243,無
2014/12/31,連江縣,713866,11762,166,無
2014/12/31,基隆市,39593162,371595,292,無
2014/12/31,高雄市,264805556,2655691,273,無
2014/12/31,桃園市,189290596,1951533,266,無
2014/12/31,苗栗縣,37969001,445990,233,無
2014/12/31,屏東縣,36507759,402014,249,無
2014/12/31,南投縣,36533602,402528,249,無
2014/12/31,金門縣,4826427,117376,113,無
2014/12/31,花蓮縣,28033998,281240,273,無
2014/12/31,宜蘭縣,39987501,431271,254,無
2013/12/31,澎湖縣,7467207,92888,220,無
2013/12/31,臺南市,171901125,1862293,253,無
2013/12/31,臺東縣,16040207,178858,246,無
2013/12/31,臺北市,325023045,2672953,333,無
2013/12/31,臺中市,247056871,2513025,269,無
2013/12/31,彰化縣,88091992,1203824,200,無
2013/12/31,嘉義縣,39290036,475762,226,無
2013/12/31,嘉義市,27255910,270470,276,無
2013/12/31,新竹縣,37925577,428658,242,無
2013/12/31,新竹市,46748569,422168,303,無
2013/12/31,新北市,410703453,3847661,292,無
2013/12/31,雲林縣,58467556,666662,240,無
2013/12/31,連江縣,694778,11315,168,無
2013/12/31,基隆市,39045875,373576,286,無
2013/12/31,高雄市,261115595,2652724,270,無
2013/12/31,桃園縣,183928631,1936965,260,無
2013/12/31,苗栗縣,36892271,439840,230,無
2013/12/31,屏東縣,35831659,396319,248,無
2013/12/31,南投縣,35703409,404085,242,無
2013/12/31,金門縣,4454128,110466,110,無
2013/12/31,花蓮縣,26999919,281476,263,無
2013/12/31,宜蘭縣,39351976,429844,251,無
2012/12/31,澎湖縣,7389197,91344,221,無
2012/12/31,臺南市,169604861,1858496,249,無
2012/12/31,臺東縣,15784845,179747,240,無
2012/12/31,臺北市,325198191,2654559,335,無
2012/12/31,臺中市,242983015,2486701,267,無
2012/12/31,彰化縣,86728727,1204060,197,無
2012/12/31,嘉義縣,38491244,478674,220,無
2012/12/31,嘉義市,27511981,270691,278,無
2012/12/31,新竹縣,36468260,420310,237,無
2012/12/31,新竹市,45965605,417851,301,無
2012/12/31,新北市,408007424,3827286,291,無
2012/12/31,雲林縣,57730067,668161,236,無
2012/12/31,連江縣,661064,10518,172,無
2012/12/31,基隆市,39528450,376021,287,無
2012/12/31,高雄市,259381471,2647676,268,無
2012/12/31,桃園縣,179617788,1919606,256,無
2012/12/31,苗栗縣,37094058,434694,233,無
2012/12/31,屏東縣,35147879,391800,245,無
2012/12/31,南投縣,35309524,407051,237,無
2012/12/31,金門縣,4226050,102516,113,無
2012/12/31,花蓮縣,26482644,281623,257,無
2012/12/31,宜蘭縣,38590535,428405,246,無
2011/12/31,澎湖縣,7331085,90412,222,無
2011/12/31,臺南市,175072691,1854034,259,無
2011/12/31,臺東縣,15759997,180761,239,無
2011/12/31,臺北市,325748244,2626712,340,無
2011/12/31,臺中市,238742648,2458037,266,無
2011/12/31,彰化縣,87293645,1205742,198,無
2011/12/31,嘉義縣,38581737,481756,219,無
2011/12/31,嘉義市,27376782,271192,277,無
2011/12/31,新竹縣,34619638,412580,230,無
2011/12/31,新竹市,45788329,412884,304,無
2011/12/31,新北市,403607367,3804157,291,無
2011/12/31,雲林縣,57572482,670511,235,無
2011/12/31,連江縣,648536,9877,180,無
2011/12/31,基隆市,39641069,379452,286,無
2011/12/31,高雄市,256504055,2642651,266,無
2011/12/31,桃園縣,181107074,1902497,261,無
2011/12/31,苗栗縣,37557187,429831,239,無
2011/12/31,屏東縣,33920744,391442,237,無
2011/12/31,南投縣,35478438,411009,236,無
2011/12/31,金門縣,4008354,95069,116,無
2011/12/31,花蓮縣,26940917,281874,262,無
2011/12/31,宜蘭縣,38503863,427481,247,無
2010/12/31,澎湖縣,7371555,89933,225,無
2010/12/31,臺南縣,102893984,1081622,261,無
2010/12/31,臺南市,74247254,770710,264,無
2010/12/31,臺東縣,15813210,181807,238,無
2010/12/31,臺北縣,401007667,3781163,291,無
2010/12/31,臺北市,327568253,2604050,345,無
2010/12/31,臺中縣,115177463,1365462,231,無
2010/12/31,臺中市,122295380,1070190,313,無
2010/12/31,彰化縣,88169821,1209443,200,無
2010/12/31,嘉義縣,39185626,485507,221,無
2010/12/31,嘉義市,27723871,272290,279,無
2010/12/31,新竹縣,33208576,407173,223,無
2010/12/31,新竹市,45220279,408666,303,無
2010/12/31,雲林縣,58186317,674438,236,無
2010/12/31,連江縣,603286,9791,169,無
2010/12/31,基隆市,40121148,383575,287,無
2010/12/31,高雄縣,101503170,1123342,248,無
2010/12/31,高雄市,156933784,1515034,284,無
2010/12/31,桃園縣,180888808,1884527,263,無
2010/12/31,苗栗縣,36309889,425143,234,無
2010/12/31,屏東縣,34128089,394661,237,無
2010/12/31,南投縣,35377641,414872,234,無
2010/12/31,金門縣,3773665,90309,114,無
2010/12/31,花蓮縣,26712892,282440,259,無
2010/12/31,宜蘭縣,38177956,426145,245,無
2009/12/31,澎湖縣,7218044,88221,224,無
2009/12/31,臺南縣,102743669,1082137.5,260,無
2009/12/31,臺南市,74668626,768802.5,266,無
2009/12/31,臺東縣,15671833,182002.5,236,無
2009/12/31,臺北縣,395393369,3748444,289,無
2009/12/31,臺北市,328552575,2605233.5,346,無
2009/12/31,臺中縣,114528244,1360693,231,無
2009/12/31,臺中市,123177303,1061745.5,318,無
2009/12/31,彰化縣,87190713,1211814.5,197,無
2009/12/31,嘉義縣,39358706,487711.5,221,無
2009/12/31,嘉義市,27301633,272940,274,無
2009/12/31,新竹縣,32169996,400759.5,220,無
2009/12/31,新竹市,44512662,403707.5,302,無
2009/12/31,雲林縣,57499535,676840,233,無
2009/12/31,連江縣,591529,9711,167,無
2009/12/31,基隆市,40237471,386067.5,286,無
2009/12/31,高雄縣,100420320,1121715,245,無
2009/12/31,高雄市,157298481,1512547,285,無
2009/12/31,桃園縣,180817539,1868101,265,無
2009/12/31,苗栗縣,35987503,422937,233,無
2009/12/31,屏東縣,33607009,398165.5,231,無
2009/12/31,南投縣,35219513,418052.5,231,無
2009/12/31,金門縣,3606434,84269.5,117,無
2009/12/31,花蓮縣,26456977,283013.5,256,無
2009/12/31,宜蘭縣,37019663,423697.5,239,無
2008/12/31,澎湖縣,7091055,86410.5,224,無
2008/12/31,臺南縣,106309085,1082125,268,無
2008/12/31,臺南市,75873055,765607,271,無
2008/12/31,臺東縣,15263899,181877,229,無
2008/12/31,臺北縣,397632415,3710122,293,無
2008/12/31,臺北市,328976296,2615855.5,344,無
2008/12/31,臺中縣,115634161,1353992,233,無
2008/12/31,臺中市,126588161,1052510.5,329,無
2008/12/31,彰化縣,86689301,1212599,195,無
2008/12/31,嘉義縣,39014690,489415,218,無
2008/12/31,嘉義市,27317396,272398,274,無
2008/12/31,新竹縣,31555415,391110.5,220,無
2008/12/31,新竹市,44135789,396251.5,304,無
2008/12/31,雲林縣,56997367,677470,230,無
2008/12/31,連江縣,544453,9685.5,154,無
2008/12/31,基隆市,41126213,387165.5,290,無
2008/12/31,高雄縣,101768752,1120861.5,248,無
2008/12/31,高雄市,161042821,1508641.5,292,無
2008/12/31,桃園縣,182354357,1851982,269,無
2008/12/31,苗栗縣,35563738,421768.5,230,無
2008/12/31,屏東縣,33441013,393898.5,232,無
2008/12/31,南投縣,35058683,420931.5,228,無
2008/12/31,金門縣,3490616,78483,122,無
2008/12/31,花蓮縣,26601593,283503,256,無
2008/12/31,宜蘭縣,36685788,421328,238,無
